name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Pebble Creek Nursing Center,4.6,,Nursing home,11608 Scott Simpson Dr,,Open 24 hours,http://pebblenursing.com/,https://www.google.com/maps/place/Pebble+Creek+Nursing+Center/data=!4m7!3m6!1s0x86e7437fbe906439:0xd6235f562d2e534b!8m2!3d31.745444!4d-106.301002!16s%2Fg%2F1tdlhrfk!19sChIJOWSQvn9D54YRS1MuLVZfI9Y?authuser=0&hl=en&rclk=1
Herrera's Adult Care Home,5.0,,Assisted living facility,3332 Porter Ave,,,http://herrerasadultcare.weebly.com/,https://www.google.com/maps/place/Herrera%27s+Adult+Care+Home/data=!4m7!3m6!1s0x86e759e56047dc3d:0xe5e9d755b93f39b1!8m2!3d31.804664!4d-106.453975!16s%2Fg%2F1tdw8hsl!19sChIJPdxHYOVZ54YRsTk_uVXX6eU?authuser=0&hl=en&rclk=1
El Paso State Supported Living Center,2.4,,Assisted living facility,6700 Delta Dr,,Open 24 hours,https://www.hhs.texas.gov/services/disability/intellectual-or-developmental-disabilities-idd-long-term-care/state-supported-living-centers-sslcs/el-paso-state-supported-living-center,https://www.google.com/maps/place/El+Paso+State+Supported+Living+Center/data=!4m7!3m6!1s0x86e75ba34e0c63e9:0xfd35a1dbe33e2343!8m2!3d31.7597784!4d-106.4061288!16s%2Fg%2F1tdqt_03!19sChIJ6WMMTqNb54YRQyM-49uhNf0?authuser=0&hl=en&rclk=1
Avir at El Paso,4.2,,Nursing home,7441 Paseo del Norte,,Open 24 hours,http://www.cimarronparknursingandrehab.com/,https://www.google.com/maps/place/Avir+at+El+Paso/data=!4m7!3m6!1s0x86ddf9b0a688f76f:0xe1f551bafc9b18aa!8m2!3d31.8870041!4d-106.5670177!16s%2Fg%2F11gl1n7mm9!19sChIJb_eIprD53YYRqhib_LpR9eE?authuser=0&hl=en&rclk=1
Eden Assisted Living,3.5,,Assisted living facility,8961 Ankerson St,,,,https://www.google.com/maps/place/Eden+Assisted+Living/data=!4m7!3m6!1s0x86e7512b9bc40023:0x9d2fd2ed2d01f494!8m2!3d31.8667188!4d-106.4371897!16s%2Fg%2F113hljw7g!19sChIJIwDEmytR54YRlPQBLe3SL50?authuser=0&hl=en&rclk=1
Mountain Villa Nursing Center,3.5,,Nursing home,2729 Porter Ave,,Open · Closes 8 PM,https://www.mountainvilla.net/elpaso/,https://www.google.com/maps/place/Mountain+Villa+Nursing+Center/data=!4m7!3m6!1s0x86e759e791bb341d:0x43510b90bf301d01!8m2!3d31.8050885!4d-106.4632842!16s%2Fg%2F1tg9h_m9!19sChIJHTS7kedZ54YRAR0wv5ALUUM?authuser=0&hl=en&rclk=1
Evermore Living Estates,4.3,,Assisted living facility,5435 Connor's Ln,,Open · Closes 8 PM,https://www.evermorelivingestates.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1455702637740262400,https://www.google.com/maps/place/Evermore+Living+Estates/data=!4m7!3m6!1s0x86ddf9c23fe5fe43:0xd3fd5f5005ff441a!8m2!3d31.8558108!4d-106.6179632!16s%2Fg%2F11st8bz3rb!19sChIJQ_7lP8L53YYRGkT_BVBf_dM?authuser=0&hl=en&rclk=1
Ambrosio Guillen Texas State Veterans Home,4.7,,Nursing home,9650 Kenworthy St,,Open now,https://vlb.texas.gov/veterans-homes/locations/el-paso/index.html,https://www.google.com/maps/place/Ambrosio+Guillen+Texas+State+Veterans+Home/data=!4m7!3m6!1s0x86e751499d18bf3b:0xbf4a4e45076c2fd9!8m2!3d31.8886098!4d-106.4311262!16s%2Fg%2F1v26mk93!19sChIJO78YnUlR54YR2S9sB0VOSr8?authuser=0&hl=en&rclk=1
Bienvivir All-Inclusive Senior Health,3.7,,Assisted living facility,940 N Carolina Dr #2724,,Open · Closes 5 PM,http://www.bienvivir.org/,https://www.google.com/maps/place/Bienvivir+All-Inclusive+Senior+Health/data=!4m7!3m6!1s0x86e75b63ffffffff:0x93e2bf618d96e996!8m2!3d31.7399291!4d-106.3501434!16s%2Fg%2F113jvnx3v!19sChIJ_____2Nb54YRlumWjWG_4pM?authuser=0&hl=en&rclk=1
Lee Seniors Community,4.5,,Apartment complex,2965 Lee Blvd,,Open · Closes 5 PM,https://www.leeseniors.com/,https://www.google.com/maps/place/Lee+Seniors+Community/data=!4m7!3m6!1s0x86e745d40f01c0bd:0x18ed541281f6cd59!8m2!3d31.7817515!4d-106.2941087!16s%2Fg%2F11j8w6zh32!19sChIJvcABD9RF54YRWc32gRJU7Rg?authuser=0&hl=en&rclk=1
