name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Brethren Manor,4.5,,Retirement home,3333 Pacific Pl,,,,https://www.google.com/maps/place/Brethren+Manor/data=!4m7!3m6!1s0x80dd338ddbbefe2b:0xc21972ef1c999448!8m2!3d33.8177899!4d-118.1961617!16s%2Fg%2F1tj9tm_s!19sChIJK_6-240z3YARSJSZHO9yGcI?authuser=0&hl=en&rclk=1
Del Amo Gardens,2.0,,Assisted living facility,225 E Del Amo Blvd,,,https://www.delamogardensapts.com/,https://www.google.com/maps/place/Del+Amo+Gardens/data=!4m7!3m6!1s0x80dd336fa8065e31:0x3400053f0a71de79!8m2!3d33.8474906!4d-118.1919893!16s%2Fg%2F1tm8kx5t!19sChIJMV4GqG8z3YARed5xCj8FADQ?authuser=0&hl=en&rclk=1
Leisure World Seal Beach,4.4,,Gated community,13533 Seal Beach Blvd,,Open now,https://www.lwsb.com/,https://www.google.com/maps/place/Leisure+World+Seal+Beach/data=!4m7!3m6!1s0x80dd2fbe88975191:0xa4ffac043d29dd6d!8m2!3d33.7674409!4d-118.0782434!16s%2Fg%2F1tdjx9tv!19sChIJkVGXiL4v3YARbd0pPQSs_6Q?authuser=0&hl=en&rclk=1
Carmelitos Senior Complex Spt,4.3,,Senior citizen center,801 E Via Carmelitos,,,https://www.longbeach.gov/haclb/applicants-and-participants/applicants/affordable-housing/,https://www.google.com/maps/place/Carmelitos+Senior+Complex+Spt/data=!4m7!3m6!1s0x80dd3312ac81535f:0x111b950a4e174ba5!8m2!3d33.8482666!4d-118.1824035!16s%2Fg%2F12639b4fl!19sChIJX1OBrBIz3YARpUsXTgqVGxE?authuser=0&hl=en&rclk=1
Long Beach Senior Center,4.4,,Senior citizen center,1150 E 4th St,,Open · Closes 4:30 PM,https://www.longbeach.gov/park/park-and-facilities/directory/long-beach-senior-center/,https://www.google.com/maps/place/Long+Beach+Senior+Center/data=!4m7!3m6!1s0x80dd311401c0bfd9:0xf2c7509a37e4fdc5!8m2!3d33.771272!4d-118.1769037!16s%2Fg%2F1tdrfn_g!19sChIJ2b_AARQx3YARxf3kN5pQx_I?authuser=0&hl=en&rclk=1
chez bon guest home,4.6,,Nursing home,"1206 Walnut Ave Unit #20, Rm. A",,Open 24 hours,http://chezbonguesthome.com/,https://www.google.com/maps/place/chez+bon+guest+home/data=!4m7!3m6!1s0x80dd316df27f18c1:0x2371eb56617bf683!8m2!3d33.7820165!4d-118.1716504!16s%2Fg%2F1tjv3tvb!19sChIJwRh_8m0x3YARg_Z7YVbrcSM?authuser=0&hl=en&rclk=1
Somerset Homecare,,,Assisted living facility,1309 E Somerset Pl,,Open · Closes 5 PM,http://www.somersethomecarelb.com/,https://www.google.com/maps/place/Somerset+Homecare/data=!4m7!3m6!1s0x80dd33a442300001:0xe869a8c93b383405!8m2!3d33.8320043!4d-118.175043!16s%2Fg%2F11fm3v8p9n!19sChIJAQAwQqQz3YARBTQ4O8moaeg?authuser=0&hl=en&rclk=1
Savant of Garden Grove,4.8,,Assisted living facility,5900 Chapman Ave,,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-valley-view.html?cid=yext,https://www.google.com/maps/place/Savant+of+Garden+Grove/data=!4m7!3m6!1s0x80dd2f28a6ad24af:0xee99648a62380aa!8m2!3d33.7882094!4d-118.0300745!16s%2Fg%2F1tvq4fgp!19sChIJryStpigv3YARqoAjpkiW6Q4?authuser=0&hl=en&rclk=1
Redondo Plaza,5.0,,Apartment building,645 Redondo Ave,,,https://www.longbeach.gov/haclb/applicants-and-participants/applicants/affordable-housing/,https://www.google.com/maps/place/Redondo+Plaza/data=!4m7!3m6!1s0x80dd319fe6a5a67b:0xc03802178a61276b!8m2!3d33.7743447!4d-118.1526338!16s%2Fg%2F11js49htcx!19sChIJe6al5p8x3YARaydhihcCOMA?authuser=0&hl=en&rclk=1
Immanuel Community Housing,4.9,,Residents association,3215 E 3rd St,,Open · Closes 5 PM,https://www.tsahousing.com/property/immanuelplace,https://www.google.com/maps/place/Immanuel+Community+Housing/data=!4m7!3m6!1s0x80dd31a9392f8957:0xb20bbc0e4dcfa412!8m2!3d33.768308!4d-118.1542806!16s%2Fg%2F11c60crqtb!19sChIJV4kvOakx3YAREqTPTQ68C7I?authuser=0&hl=en&rclk=1
Federation Tower Senior Apartments,3.9,,Apartment complex,3799 E Willow St,,Open · Closes 4 PM,https://www.livefederationtower.com/,https://www.google.com/maps/place/Federation+Tower+Senior+Apartments/data=!4m7!3m6!1s0x80dd3189b2ebedcb:0x2b49d8099e681716!8m2!3d33.8053567!4d-118.1488585!16s%2Fg%2F1v6l7t24!19sChIJy-3rsokx3YARFhdongnYSSs?authuser=0&hl=en&rclk=1
Belmont Shores Mobile Estates,4.3,,Mobile home park,6230 E Marina View Dr,,,https://belmontshoresme.com/,https://www.google.com/maps/place/Belmont+Shores+Mobile+Estates/data=!4m7!3m6!1s0x80dd2fd5fcfdd63f:0xf33f7d83f70d80d0!8m2!3d33.7675736!4d-118.11179!16s%2Fg%2F1wk7r4ty!19sChIJP9b9_NUv3YAR0IAN94N9P_M?authuser=0&hl=en&rclk=1
Intercommunity Care Center,3.8,,Nursing home,2626 Grand Ave,,Open 24 hours,http://iccare.org/,https://www.google.com/maps/place/Intercommunity+Care+Center/data=!4m7!3m6!1s0x80dd318820a702eb:0xeacf6cb5bac54929!8m2!3d33.8049467!4d-118.1456083!16s%2Fg%2F1td3rt4p!19sChIJ6wKnIIgx3YARKUnFurVsz-o?authuser=0&hl=en&rclk=1
