name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Harrison on 5th by Senior Star,4.6,,Assisted living facility,579 W 5th Ave,,Open 24 hours,https://www.seniorstar.com/harrison-on-5th-by-senior-star,https://www.google.com/maps/place/Harrison+on+5th+by+Senior+Star/data=!4m7!3m6!1s0x88388fc8d029d82f:0x4e6ef0664fda6d08!8m2!3d39.9874619!4d-83.0211595!16s%2Fg%2F11rf5y7rz4!19sChIJL9gp0MiPOIgRCG3aT2bwbk4?authuser=0&hl=en&rclk=1
Villas of Scioto,4.2,,Retirement community,472 Scioto Villa Ln,,Closes soon · Opens 9 AM Tue,https://villasofscioto.com/,https://www.google.com/maps/place/Villas+of+Scioto/data=!4m7!3m6!1s0x8838869ce6f0b2ad:0x125f23cbd4df2ddb!8m2!3d39.879581!4d-82.9883278!16s%2Fg%2F11fxfzlmmg!19sChIJrbLw5pyGOIgR2y3f1MsjXxI?authuser=0&hl=en&rclk=1
Brookdale Trillium Crossing,4.4,,Assisted living facility,3500 Trillium Crossing,,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-trillium-crossing.html?cid=yext,https://www.google.com/maps/place/Brookdale+Trillium+Crossing/data=!4m7!3m6!1s0x883892a8e1fd9785:0x396851b60e0cc2ab!8m2!3d40.0947853!4d-83.0831317!16s%2Fg%2F1tnplny7!19sChIJhZf94aiSOIgRq8IMDrZRaDk?authuser=0&hl=en&rclk=1
First Community Village,4.3,,Assisted living facility,1800 Riverside Dr,,Open 24 hours,https://www.nationalchurchresidences.org/communities/first-community-village/?utm_source=local-listing&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/place/First+Community+Village/data=!4m7!3m6!1s0x88388e3b0855351b:0xa481e2295e8d1855!8m2!3d39.9921432!4d-83.0659248!16s%2Fg%2F1tfvtlxy!19sChIJGzVVCDuOOIgRVRiNXinigaQ?authuser=0&hl=en&rclk=1
Bickford of Bexley,4.8,,Assisted living facility,2600 E Main St,,Open 24 hours,https://www.bickfordseniorliving.com/bexley,https://www.google.com/maps/place/Bickford+of+Bexley/data=!4m7!3m6!1s0x883889bb9c858385:0x37a2053fc2739f18!8m2!3d39.9573946!4d-82.9285323!16s%2Fg%2F11gj1y_z3t!19sChIJhYOFnLuJOIgRGJ9zwj8Fojc?authuser=0&hl=en&rclk=1
Alpine House of Columbus,3.0,,Assisted living facility,1001 Schrock Rd,,,http://www.alpinehouse.net/,https://www.google.com/maps/place/Alpine+House+of+Columbus/data=!4m7!3m6!1s0x8838f4abdaee1e1f:0x28e76ae9aaf6a2ba!8m2!3d40.1019354!4d-82.9893137!16s%2Fg%2F1pty8h84l!19sChIJHx7u2qv0OIgRuqL2qulq5yg?authuser=0&hl=en&rclk=1
The Villas at St. Therese - Assisted Living,4.0,,Assisted living facility,25 Noe Bixby Rd,,Open 24 hours,http://carmeliteseniorliving.org/villas-assisted-living/,https://www.google.com/maps/place/The+Villas+at+St.+Therese+-+Assisted+Living/data=!4m7!3m6!1s0x883863f270b3b74b:0xd3e291ca16950a9e!8m2!3d39.9754241!4d-82.8590577!16s%2Fg%2F11fn00hsrs!19sChIJS7ezcPJjOIgRngqVFsqR4tM?authuser=0&hl=en&rclk=1
Our Home - New Albany,4.7,,Assisted living facility,5055 Thompson Rd,,Open · Closes 7 PM,https://www.ourhomesl.com/,https://www.google.com/maps/place/Our+Home+-+New+Albany/data=!4m7!3m6!1s0x883860f158ce6c7b:0x3d70743f8ee7601e!8m2!3d40.0632457!4d-82.8576009!16s%2Fg%2F1vknq113!19sChIJe2zOWPFgOIgRHmDnjj90cD0?authuser=0&hl=en&rclk=1
Creekside at the Village,3.2,,Assisted living facility,2200 Welcome Pl,,,https://www.whv.org/,https://www.google.com/maps/place/Creekside+at+the+Village/data=!4m7!3m6!1s0x8838886f387057f9:0x777f643cf417333c!8m2!3d39.944011!4d-82.9380479!16s%2Fg%2F1tdxljt1!19sChIJ-VdwOG-IOIgRPDMX9Dxkf3c?authuser=0&hl=en&rclk=1
Lincoln Village,4.8,,Assisted living facility,4959 Medfield Way,,Open · Closes 6 PM,https://www.nationalchurchresidences.org/communities/lincoln-village/?utm_source=local-listing&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/place/Lincoln+Village/data=!4m7!3m6!1s0x883890901a98ede1:0xbafd84ce2bfa735c!8m2!3d39.9530083!4d-83.1332901!16s%2Fg%2F11b6yfg_82!19sChIJ4e2YGpCQOIgRXHP6K86E_bo?authuser=0&hl=en&rclk=1
Willow Brook Christian Home,4.1,,Assisted living facility,55 Lazelle Rd,,Open 24 hours,http://www.willow-brook.org/contact/willow-brook-christian-home/?utm_source=gmb&utm_medium=organic&utm_campaign=google-my-business&utm_term=W1,https://www.google.com/maps/place/Willow+Brook+Christian+Home/data=!4m7!3m6!1s0x8838f30b2e3519eb:0x7accac1c2760bcff!8m2!3d40.1359497!4d-83.0149374!16s%2Fg%2F1tcwgn8s!19sChIJ6xk1LgvzOIgR_7xgJxyszHo?authuser=0&hl=en&rclk=1
Traditions at Lakeview Crossing,4.3,,Assisted living facility,4000 Lakeview Crossing,,Open 24 hours,https://traditionsatlakeviewcrossing.com/,https://www.google.com/maps/place/Traditions+at+Lakeview+Crossing/data=!4m7!3m6!1s0x88387d057ee4e0d1:0x6829f95653bc82ce!8m2!3d39.8930827!4d-82.8753623!16s%2Fg%2F1v2yzjj6!19sChIJ0eDkfgV9OIgRzoK8U1b5KWg?authuser=0&hl=en&rclk=1
Brookdale Westerville,4.0,,Assisted living facility,6377 Cooper Rd,,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-westerville.html?cid=yext,https://www.google.com/maps/place/Brookdale+Westerville/data=!4m7!3m6!1s0x8838f52e21f03f2d:0xddb49dea09548af2!8m2!3d40.1002905!4d-82.9398838!16s%2Fg%2F1tf7st2z!19sChIJLT_wIS71OIgR8opUCeqdtN0?authuser=0&hl=en&rclk=1
The Grove at Oakleaf Village of Columbus,4.1,,Assisted living facility,5546 Karl Rd,,Open 24 hours,https://grovecolumbus.com/,https://www.google.com/maps/place/The+Grove+at+Oakleaf+Village+of+Columbus/data=!4m7!3m6!1s0x88388b05fcea7207:0x2c7975e17c706c8b!8m2!3d40.0791343!4d-82.9751675!16s%2Fg%2F11h1r8t8c_!19sChIJB3Lq_AWLOIgRi2xwfOF1eSw?authuser=0&hl=en&rclk=1
The Villas at St. Therese - Independent Living,3.4,,Nursing home,5253 E Broad St,,Open 24 hours,http://carmeliteseniorliving.org/villas-overview/,https://www.google.com/maps/place/The+Villas+at+St.+Therese+-+Independent+Living/data=!4m7!3m6!1s0x883863ad96051595:0xe75a81989bb22ca6!8m2!3d39.9749577!4d-82.8594906!16s%2Fg%2F1tgw5pp4!19sChIJlRUFlq1jOIgRpiyym5iBWuc?authuser=0&hl=en&rclk=1
Carriage Court Senior Living,4.4,,Assisted living facility,3570 Heritage Club Dr N,,Open · Closes 7 PM,https://carriagecourthilliard.com/?utm_campaign=gmb&utm_medium=organic&utm_source=local,https://www.google.com/maps/place/Carriage+Court+Senior+Living/data=!4m7!3m6!1s0x883891557566155d:0x753f5ddd3ef7d844!8m2!3d40.024403!4d-83.162257!16s%2Fg%2F11b6dpx5bs!19sChIJXRVmdVWROIgRRNj3Pt1dP3U?authuser=0&hl=en&rclk=1
Spring Leaf Columbus,4.2,,Retirement community,2920 Snouffer Rd,,Open 24 hours,https://www.storypoint.com/community/springleaf-columbus-oh/?utm_source=gmb&utm_medium=organic,https://www.google.com/maps/place/Spring+Leaf+Columbus/data=!4m7!3m6!1s0x8838f2b28b95f0d7:0x3747ab7f3e3cdc23!8m2!3d40.1042666!4d-83.0674828!16s%2Fg%2F11ggl22t4b!19sChIJ1_CVi7LyOIgRI9w8Pn-rRzc?authuser=0&hl=en&rclk=1
Worthington Christian Village,4.7,,Assisted living facility,165 Highbluffs Blvd,,,http://www.wcv.org/,https://www.google.com/maps/place/Worthington+Christian+Village/data=!4m7!3m6!1s0x8838f30fa45512c5:0x1e6b0b813939e6b1!8m2!3d40.1315645!4d-83.0237588!16s%2Fg%2F1tm1386f!19sChIJxRJVpA_zOIgRseY5OYELax4?authuser=0&hl=en&rclk=1
Cranberry Park at Riverview - An Optalis Health Assisted Living Community,3.0,,Assisted living facility,3700 Olentangy River Rd,,,https://www.optalishealthcare.com/care-services/assisted-living/,https://www.google.com/maps/place/Cranberry+Park+at+Riverview+-+An+Optalis+Health+Assisted+Living+Community/data=!4m7!3m6!1s0x88388d005ec1214d:0xad3879f7e93c4cce!8m2!3d40.0356882!4d-83.0301214!16s%2Fg%2F11mt80dvxk!19sChIJTSHBXgCNOIgRzkw86fd5OK0?authuser=0&hl=en&rclk=1
Westerwood Assisted Living,5.0,,Assisted living facility,5675 Ponderosa Dr,,Open · Closes 7 PM,https://www.liveatwesterwood.org/health-services/assisted-living/,https://www.google.com/maps/place/Westerwood+Assisted+Living/data=!4m7!3m6!1s0x88388ace110fac79:0x259e493286e651a5!8m2!3d40.0879008!4d-82.9392821!16s%2Fg%2F1v4203gz!19sChIJeawPEc6KOIgRpVHmhjJJniU?authuser=0&hl=en&rclk=1
StoryPoint Gahanna Central,4.4,,Assisted living facility,775 E Johnstown Rd,,Open 24 hours,https://www.storypoint.com/community/gahanna-central-oh?utm_source=google&utm_medium=gmb&utm_campaign=organic,https://www.google.com/maps/place/StoryPoint+Gahanna+Central/data=!4m7!3m6!1s0x883861a7d75314dd:0x1a3915487941f11c!8m2!3d40.0380579!4d-82.8658262!16s%2Fg%2F1tgnmr4b!19sChIJ3RRT16dhOIgRHPFBeUgVORo?authuser=0&hl=en&rclk=1
Taylor Springs Health Campus,3.9,,Assisted living facility,748 Taylor Rd,,Open 24 hours,https://taylorspringshc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/place/Taylor+Springs+Health+Campus/data=!4m7!3m6!1s0x88386352525620c3:0x18ea84a77ee7a05e!8m2!3d40.0041007!4d-82.8556213!16s%2Fg%2F11j006nrjz!19sChIJwyBWUlJjOIgRXqDnfqeE6hg?authuser=0&hl=en&rclk=1
The Cottage at Wexner Heritage Village,4.0,,Assisted living facility,1149 College Ave,,Closes soon · Opens 8:30 AM Tue,http://www.whv.org/the-cottage,https://www.google.com/maps/place/The+Cottage+at+Wexner+Heritage+Village/data=!4m7!3m6!1s0x8838886f387057f9:0xa521e948eceb6629!8m2!3d39.9447867!4d-82.9374148!16s%2Fg%2F1tgh3n4j!19sChIJ-VdwOG-IOIgRKWbr7EjpIaU?authuser=0&hl=en&rclk=1
The Avalon of Lewis Center,4.6,,Retirement home,8875 Green Meadows Drive,,Open 24 hours,/aclk?sa=L&ai=DChsSEwjHvd2KiIqVAxWHZ0cBHUWZFwwYACICCAEQAxoCcXU&co=1&ase=2&gclid=EAIaIQobChMIx73dioiKlQMVh2dHAR1FmRcMEBAYASAAEgKsz_D_BwE&cid=CAASuwHkaOyz-hphLfn4si19a7hvgoh0djhJP0mREOs2OY7k4Oa-LlNPmXymYJIUqSP2XYIkIpByk2mDgQMA-WoCkuHKDFjyNdZ4gsvOlQWoN1s8H6Pe_muV4dhuY95IPSj4x_2uCMjMJAPWAfQ4AKS7UsGlflvQECRYuvChU4kv7ebocJbPoSWTv3SXYdjEk-vwkDyxfkfhHREeXijhqB9TTCS3Ez4FLvUJcfcbSZm3VQ_B1RV5avrtvi6PInJS&cce=2&category=acrcp_v1_32&sig=AOD64_3uKqHgPkVXUDFZolkp5MvfqD0_Yw&adurl&q&ctype=99&nis=6,https://www.google.com/maps/place/The+Avalon+of+Lewis+Center/data=!4m7!3m6!1s0x8838f3951c19d023:0xaf6888c60e70c6f6!8m2!3d40.159455!4d-83.012533!16s%2Fg%2F11bwym9y2r!19sChIJI9AZHJXzOIgR9sZwDsaIaK8?authuser=0&hl=en&rclk=1
Friendship Village of Dublin,4.7,,Assisted living facility,6000 Riverside Dr,,Open 24 hours,https://www.fvdublin.org/about-us/location/,https://www.google.com/maps/place/Friendship+Village+of+Dublin/data=!4m7!3m6!1s0x883892c4661d0ba7:0x2577786b3d68dedf!8m2!3d40.0904462!4d-83.1069196!16s%2Fg%2F1thzpklk!19sChIJpwsdZsSSOIgR395oPWt4dyU?authuser=0&hl=en&rclk=1
Jaycee Village Apartments,3.8,,Retirement community,5905 Beechcroft Rd,,,http://jayceevillage.com/gallery/,https://www.google.com/maps/place/Jaycee+Village+Apartments/data=!4m7!3m6!1s0x88388b314fc79fad:0x7aaf773e22a8911b!8m2!3d40.0898148!4d-82.9660082!16s%2Fg%2F1tg9tbwh!19sChIJrZ_HTzGLOIgRG5GoIj53r3o?authuser=0&hl=en&rclk=1
Hilliard Assisted Living & Memory Care,4.1,,Assisted living facility,4303 Trueman Blvd,,Open 24 hours,https://spectrumretirement.com/hilliard-assisted-living-and-memory-care-oh-hilliard/?utm_source=gmb&utm_medium=organic&utm_campaign=hilliard,https://www.google.com/maps/place/Hilliard+Assisted+Living+%26+Memory+Care/data=!4m7!3m6!1s0x8838923355a0a6a7:0x3677862a76d21cf0!8m2!3d40.0415749!4d-83.1244765!16s%2Fg%2F11c46gg6b5!19sChIJp6agVTOSOIgR8BzSdiqGdzY?authuser=0&hl=en&rclk=1
Columbus Alzheimer's Care Center,3.9,,Nursing home,700 Jasonway Ave,,Closes soon · Opens 8 AM Tue,https://columbusalzheimercarecenter.com/,https://www.google.com/maps/place/Columbus+Alzheimer%27s+Care+Center/data=!4m7!3m6!1s0x88388daa557e929b:0x8e39aff1c8f1da6f!8m2!3d40.0566132!4d-83.0390919!16s%2Fg%2F1tdgqh9g!19sChIJm5J-VaqNOIgRb9rxyPGvOY4?authuser=0&hl=en&rclk=1
Bickford of Worthington,4.6,,Assisted living facility,6525 N High St,,Open 24 hours,https://www.bickfordseniorliving.com/worthington,https://www.google.com/maps/place/Bickford+of+Worthington/data=!4m7!3m6!1s0x88388dd2081ad435:0x3342ba982516b2df!8m2!3d40.095684!4d-83.0185775!16s%2Fg%2F11f6h4cpw2!19sChIJNdQaCNKNOIgR37IWJZi6QjM?authuser=0&hl=en&rclk=1
