name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Forest View Apartments - Sayre Christian Village,4.4,,Retirement community,3824 Camelot Dr,,,https://www.sayrechristianvillage.org/baunta-forest-view-apartments/?utm_source=GMB&utm_medium=organic&utm_campaign=forest,https://www.google.com/maps/place/Forest+View+Apartments+-+Sayre+Christian+Village/data=!4m7!3m6!1s0x88425b9e0d1de623:0x6c529e969df93e41!8m2!3d37.976197!4d-84.5059845!16s%2Fg%2F11d_td6h2z!19sChIJI-YdDZ5bQogRQT75nZaeUmw?authuser=0&hl=en&rclk=1
Green Valley Commons - Assisted Living Winchester VA,3.8,,Assisted living facility,549 Valley Mill Rd,,Open 24 hours,https://greenvalleycommons.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_commons,https://www.google.com/maps/place/Green+Valley+Commons+-+Assisted+Living+Winchester+VA/data=!4m7!3m6!1s0x89b5ef8ec3abbea9:0xfc008dec7168e716!8m2!3d39.1802126!4d-78.1177296!16s%2Fg%2F11bbyhjx_1!19sChIJqb6rw47vtYkRFudoceyNAPw?authuser=0&hl=en&rclk=1
Emerson Center,3.5,,Apartment building,2050 Garden Springs Dr,,,https://emersoncenterseniors.com/,https://www.google.com/maps/place/Emerson+Center/data=!4m7!3m6!1s0x88424349ee158e55:0x57c183d2f4e2b239!8m2!3d38.0272222!4d-84.5425!16s%2Fg%2F1tgx78rq!19sChIJVY4V7klDQogRObLi9NKDwVc?authuser=0&hl=en&rclk=1
Lexington Park Senior Apartments,2.8,,Apartment building,21895 Pegg Rd,,,https://www.habitatamerica.com/apartments/md/lexington-park/lexington-park-senior-housing-lp/default,https://www.google.com/maps/place/Lexington+Park+Senior+Apartments/data=!4m7!3m6!1s0x89b761eed746db6d:0x3c1c07f3030b77d1!8m2!3d38.2698497!4d-76.4712901!16s%2Fg%2F1tkvbn9y!19sChIJbdtG1-5ht4kR0XcLA_MHHDw?authuser=0&hl=en&rclk=1
Leslie Maynard,5.0,,Assisted living facility,501 Darby Creek Rd Unit 41,,,,https://www.google.com/maps/place/Leslie+Maynard/data=!4m7!3m6!1s0x88425005d9902c39:0xa8adc183676c7857!8m2!3d38.0075152!4d-84.432736!16s%2Fg%2F11rwxftvwr!19sChIJOSyQ2QVQQogRV3hsZ4PBrag?authuser=0&hl=en&rclk=1
Webster Assisted Living,,,Assisted living facility,Kendal Dr,,,,https://www.google.com/maps/place/Webster+Assisted+Living/data=!4m7!3m6!1s0x884ccb07a9d31a95:0x599035bc67d3808!8m2!3d37.7810399!4d-79.4594224!16s%2Fg%2F11s4tynbdh!19sChIJlRrTqQfLTIgRCDh9xlsDmQU?authuser=0&hl=en&rclk=1
Green Valley Manor - Assisted Living Winchester VA,2.8,,Assisted living facility,1011 Pennsylvania Ave,,Open 24 hours,https://greenvalleycommons.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_manor,https://www.google.com/maps/place/Green+Valley+Manor+-+Assisted+Living+Winchester+VA/data=!4m7!3m6!1s0x89b5efa23df37a67:0x28d43d77db900c5c!8m2!3d39.2031558!4d-78.1591664!16s%2Fg%2F11g4hr1vf6!19sChIJZ3rzPaLvtYkRXAyQ23c91Cg?authuser=0&hl=en&rclk=1
The Oasis at Kearny Creek,5.0,,Apartment building,2750 Meadowsweet Ln,,,http://www.auassociates.com/,https://www.google.com/maps/place/The+Oasis+at+Kearny+Creek/data=!4m7!3m6!1s0x884247bfef85fd6f:0xfde23f44c20a7f5d!8m2!3d38.1086534!4d-84.5198841!16s%2Fg%2F11qh74lmcs!19sChIJb_2F779HQogRXX8KwkQ_4v0?authuser=0&hl=en&rclk=1
Aging With Grace®,4.4,,Home health care service,743 B Allendale Dr,,Open 24 hours,http://www.agingwithgraceinfo.org/,https://www.google.com/maps/place/Aging+With+Grace%C2%AE/data=!4m7!3m6!1s0x884245459e01edbb:0x8c6b27708988b479!8m2!3d38.0281678!4d-84.5351745!16s%2Fg%2F11g8v5vr8y!19sChIJu-0BnkVFQogRebSIiXAna4w?authuser=0&hl=en&rclk=1
Baunta Apartments - Sayre Christian Village,4.5,,Retirement community,3816 Camelot Dr,,,https://www.sayrechristianvillage.org/baunta-forest-view-apartments/?utm_source=GMB&utm_medium=organic&utm_campaign=baunta,https://www.google.com/maps/place/Baunta+Apartments+-+Sayre+Christian+Village/data=!4m7!3m6!1s0x88425b7f9b9fc705:0xfa7802463a7a077c!8m2!3d37.9753131!4d-84.5064607!16s%2Fg%2F11h61qmnfm!19sChIJBcefm39bQogRfAd6OkYCePo?authuser=0&hl=en&rclk=1
