name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Arden Courts (Tampa),4.9,,Assisted living facility,14950 Casey Rd,,Open 24 hours,https://www.arden-courts.com/communities/tampa?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/place/Arden+Courts+%28Tampa%29/data=!4m7!3m6!1s0x88c2c08766b0b8f7:0xaffdee25403dcec5!8m2!3d28.0878565!4d-82.5180508!16s%2Fg%2F1td5gxlx!19sChIJ97iwZofAwogRxc49QCXu_a8?authuser=0&hl=en&rclk=1
Renaissance of North Tampa,4.5,,Assisted living facility,16001 Lakeshore Villa Dr,,Open 24 hours,https://legendseniorliving.com/find-a-community/florida/renaissance-of-north-tampa/?utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness,https://www.google.com/maps/place/Renaissance+of+North+Tampa/data=!4m7!3m6!1s0x88c2b8a04a60f9f1:0x64614184388d665d!8m2!3d28.09666!4d-82.4535074!16s%2Fg%2F1tfgf070!19sChIJ8flgSqC4wogRXWaNOIRBYWQ?authuser=0&hl=en&rclk=1
Concordia Village of Tampa,3.2,,Assisted living facility,4100 E Fletcher Ave,,Open 24 hours,https://bluepalmsfletcher.com/,https://www.google.com/maps/place/Concordia+Village+of+Tampa/data=!4m7!3m6!1s0x88c2c796e7785f5f:0x13f98eb9f31043d6!8m2!3d28.0701391!4d-82.4164031!16s%2Fg%2F1tf16nsw!19sChIJX19455bHwogR1kMQ87mO-RM?authuser=0&hl=en&rclk=1
Bayside Terrace,3.8,,Assisted living facility,9381 US Highway 19 North,,Open 24 hours,/aclk?sa=L&ai=DChsSEwiAvvfIloqVAxXdcEcBHVeDLekYACICCAEQABoCcXU&co=1&ase=2&gclid=EAIaIQobChMIgL73yJaKlQMV3XBHAR1Xgy3pEBAYASAAEgJ7s_D_BwE&cid=CAASuwHkaCLuXjKIfn2SmqXIv031SxadDi0GJbGSptF0lCVEoD0C0ooE-xbE_oHaSb8htppAj31VoPstWVKvDMLDLQBx6P_MkufoNDeJjv4SWeVn3WsMrKb0aIDpGMQzXA1T4WkbXL8XIexP2vdSWbRp27Dx6-GArOQgaLCw6ODFdC1uX67LhhkvUYSlanUhytSUErvOQPl5UhMiwnjuWbcXagCNuQCxnpmi-gyS7wtJfWF7UUQ2Msarpw_Ps4aQ&cce=2&category=acrcp_v1_32&sig=AOD64_03ctyEO5nVdRCKTPxrP-6ubneerg&adurl&q&ctype=99&nis=6,https://www.google.com/maps/place/Bayside+Terrace/data=!4m7!3m6!1s0x88c2e4f6e3319587:0xcc3012fb765ceafb!8m2!3d27.85731!4d-82.694696!16s%2Fg%2F1td7zwh1!19sChIJh5Ux4_bkwogR--pcdvsSMMw?authuser=0&hl=en&rclk=1
Blue Palms Village at Fletcher,4.5,,Nursing home,4100 E Fletcher Ave,,Closed · Opens 8 AM Tue,https://bluepalmsfletcher.com/,https://www.google.com/maps/place/Blue+Palms+Village+at+Fletcher/data=!4m7!3m6!1s0x88c2c72b9bc50ad9:0x2b9d29f60cc2710e!8m2!3d28.0701993!4d-82.4163603!16s%2Fg%2F11mznm0vnn!19sChIJ2QrFmyvHwogRDnHCDPYpnSs?authuser=0&hl=en&rclk=1
